"","ListingKey","Term","LoanOriginationDate","LoanOriginalAmount","MonthlyLoanPayment","ProsperScore","ProsperRisk"
"2848","0D2E356812515824303F865","60",2013-01-28,13000,346.16,7,"6 <= Score <= 8"
"2849","0D3035907797076695C5F29","36",2013-10-16,10000,416.29,3,"3 <= Score <= 5"
"2856","287D3575845089118AD5863","60",2013-04-11,15000,409.1,3,"3 <= Score <= 5"
"2858","03E635864100685969DC37F","60",2013-08-09,4000,101.99,5,"3 <= Score <= 5"
"2865","04AB357715255595458B8A9","60",2013-05-03,15000,390.26,5,"3 <= Score <= 5"
"2866","04AB35830445880986DEAB7","60",2013-07-12,4000,131.78,2,"1 <= Score <= 2"
"2867","73F7357947748970367E348","36",2013-05-30,15000,549.76,4,"3 <= Score <= 5"
"2871","740D357120998773145632E","12",2013-02-06,3000,267.19,4,"3 <= Score <= 5"
"2878","4B453581418712617019A84","36",2013-07-30,2000,62.3,10,"Score >= 9"
"2880","47CA3576726077612AF3750","36",2013-05-16,10000,324.27,8,"6 <= Score <= 8"
"2888","8D8E3590447985633E41A8B","36",2013-10-04,20000,640.57,10,"Score >= 9"
"2890","8D9B3579005895238E792F9","36",2013-05-17,6000,197.94,4,"3 <= Score <= 5"
"2895","4074359448281925950AB0C","36",2013-11-15,10000,375.98,4,"3 <= Score <= 5"
"2897","408135848754355511C9ABF","36",2013-08-01,11000,367.94,9,"Score >= 9"
"2899","408F3591828661735BBF548","36",2013-10-17,7000,231.13,9,"Score >= 9"
"2900","40973590844424427B86823","60",2013-10-16,10000,230.05,4,"3 <= Score <= 5"
"2905","0D533589067056378CFF301","36",2013-10-09,4000,160.08,4,"3 <= Score <= 5"
"2908","0D6C3587516236184A2C66F","60",2013-08-30,25000,573.19,6,"6 <= Score <= 8"
"2914","289E3596449089996EE3A5F","60",2013-12-13,5000,114.12,11,"Score >= 9"
"2921","04553595166758075E9B759","60",2013-11-26,15000,384.17,6,"6 <= Score <= 8"
"2923","04673592777180243F1B444","36",2013-11-29,5000,174.55,6,"6 <= Score <= 8"
"2924","047335838083399151284D9","36",2013-07-16,10000,401.1,6,"6 <= Score <= 8"
"2929","78EA3566621488559059485","36",2013-01-08,17750,561.48,9,"Score >= 9"
"2932","78F135909684548847D56CC","36",2013-09-25,4000,160.08,3,"3 <= Score <= 5"
"2934","80C33597904760378BB3AFD","36",2013-12-19,5000,186.07,3,"3 <= Score <= 5"
"2938","47E93578038667329B540F6","60",2013-07-11,5000,124.24,4,"3 <= Score <= 5"
"2939","47FE359194883956488B582","36",2013-10-25,15000,563.97,4,"3 <= Score <= 5"
"2940","48053585902491351694C9A","36",2013-08-22,4500,148.46,7,"6 <= Score <= 8"
"2949","8DC43575007898696C1E452","36",2013-04-11,3000,113.4,2,"1 <= Score <= 2"
"2951","8DCD35879741875549B06A2","36",2013-08-23,4000,130.75,9,"Score >= 9"
"2953","8DD93597587889176C0F7C6","36",2013-12-19,4000,168.15,4,"3 <= Score <= 5"
"2957","0D8D359165869662495C293","36",2013-10-11,8500,336.57,3,"3 <= Score <= 5"
"2959","0D9135945706230335E6725","60",2013-11-05,15000,384.17,6,"6 <= Score <= 8"
"2963","42B33571930836742B95F08","60",2013-02-21,11500,321.49,2,"1 <= Score <= 2"
"2964","42B63595913679482FE5010","36",2013-12-02,25000,858.7,6,"6 <= Score <= 8"
"2971","2B5D356635833469846CCAA","60",2013-01-17,25000,543.69,10,"Score >= 9"
"2973","2B6435723551413304F4435","36",2013-03-19,15000,537.33,3,"3 <= Score <= 5"
"2976","2B8635955431852911EDEE7","36",2013-12-06,10000,334.01,6,"6 <= Score <= 8"
"2979","2C9F35938533235754D6C7D","36",2013-10-31,22500,778.32,5,"3 <= Score <= 5"
"2980","05693579690733289B44A2F","60",2013-06-17,10000,254.97,7,"6 <= Score <= 8"
"2982","055E3590369524462F4F2FC","36",2013-09-19,10000,370.62,4,"3 <= Score <= 5"
"2984","056B3590820027821984FF8","36",2013-10-21,25000,842.23,4,"3 <= Score <= 5"
"2989","80D835782888249977B0384","60",2013-05-15,13000,327.93,5,"3 <= Score <= 5"
"2990","80DC3585175981228AF5543","36",2013-08-06,12000,382.94,8,"6 <= Score <= 8"
"2991","80E035896524101764EF0C3","60",2013-09-30,18000,471.9,4,"3 <= Score <= 5"
"3001","506D35785627656545A1D3D","60",2013-06-25,20000,458.55,9,"Score >= 9"
"3002","506F3585665723919213A3E","36",2013-08-09,5000,174.77,10,"Score >= 9"
"3007","8DE23594024973866D2D6ED","36",2013-11-12,5000,163.67,11,"Score >= 9"
"3008","8DE73579948331658C58C15","36",2013-06-19,4000,165.15,2,"1 <= Score <= 2"
"3010","8DF73596736009942E79606","36",2013-12-31,15000,501.01,7,"6 <= Score <= 8"
"3013","8E0C3572659307849CD4AC2","60",2013-03-08,15000,314.95,10,"Score >= 9"
"3014","8E0C3591909807105F823F7","60",2013-10-18,10000,282.48,4,"3 <= Score <= 5"
"3017","0CE1359164112622792210A","36",2013-10-22,3500,124.7,9,"Score >= 9"
"3018","0CE83583080522877ADD8BA","60",2013-07-17,5000,119.45,7,"6 <= Score <= 8"
"3019","0CEA3590968355384AD8E89","36",2013-09-27,15000,574.8,2,"1 <= Score <= 2"
"3023","0CF635895559781161C1DF0","36",2013-11-04,3000,106.36,6,"6 <= Score <= 8"
"3025","47B93576338369391F5A193","60",2013-04-23,10000,289.54,3,"3 <= Score <= 5"
"3027","47C535817851350207FC99E","60",2013-06-17,13000,346.16,4,"3 <= Score <= 5"
"3032","48223592805665195893E69","36",2013-11-07,10000,352.56,5,"3 <= Score <= 5"
"3034","2CA03588973043709D191B8","36",2013-10-17,7500,277.93,4,"3 <= Score <= 5"
"3036","2CAD35909138036776B6609","36",2013-10-09,3500,126.53,5,"3 <= Score <= 5"
"3042","2BFC3594906656416E29304","36",2013-11-27,25000,921.46,3,"3 <= Score <= 5"
"3045","05833576474174348F59358","36",2013-04-25,10000,401.1,2,"1 <= Score <= 2"
"3048","05A23588037287006C80A8D","36",2013-09-09,7000,261.9,5,"3 <= Score <= 5"
"3049","05AA3575569167193940384","60",2013-04-09,25000,552.2,9,"Score >= 9"
"3050","05B935877897982287B12B4","36",2013-08-29,3000,125.05,3,"3 <= Score <= 5"
"3053","770135828462195405D9CE6","60",2013-07-01,4000,121.47,2,"1 <= Score <= 2"
"3054","772635945837370248CDFE3","36",2013-11-19,25000,926.54,6,"6 <= Score <= 8"
"3064","50A435784887228338A52F2","36",2013-05-16,10000,366.51,6,"6 <= Score <= 8"
"3066","50C635926278133787EE141","60",2013-12-30,2000,52.65,2,"1 <= Score <= 2"
"3068","50CD359699053569857EFE1","36",2013-12-19,15000,464.25,11,"Score >= 9"
"3070","8E2235971179211215F8F03","36",2013-12-26,15000,550.22,4,"3 <= Score <= 5"
"3073","8E3E35948933703729D1C7E","60",2013-12-11,20000,519.36,5,"3 <= Score <= 5"
"3075","8E4B35878061517487DCF6E","60",2013-08-30,15000,363.1,5,"3 <= Score <= 5"
"3076","8E593584497092950B3F898","36",2013-07-30,4000,160.44,2,"1 <= Score <= 2"
"3077","8E643571165876915E076AC","60",2013-02-22,4000,128.65,3,"3 <= Score <= 5"
"3078","0D5E3586637917000C10F73","60",2013-08-23,25000,621.18,6,"6 <= Score <= 8"
"3082","0D933568955874695BB8684","60",2013-02-08,5000,152.44,6,"6 <= Score <= 8"
"3083","0DA0359627532902144F3B9","36",2013-12-10,4000,163.17,2,"1 <= Score <= 2"
"3086","48233593888240843E28CBA","36",2013-11-26,10000,343.48,4,"3 <= Score <= 5"
"3089","48363591135892684DA8909","36",2013-09-30,4000,148.96,6,"6 <= Score <= 8"
"3090","49003596058546012260BE1","36",2013-11-29,4000,166.54,2,"1 <= Score <= 2"
"3092","49113593605747937FCA452","36",2013-11-22,12000,365.34,11,"Score >= 9"
"3101","2C2C35791156359444788A4","36",2013-05-20,6000,203.87,3,"3 <= Score <= 5"
"3106","05D835688262318107A4163","60",2013-01-15,4000,118.75,5,"3 <= Score <= 5"
"3107","050C3590180693819EA65FF","60",2013-10-03,7500,188.82,6,"6 <= Score <= 8"
"3111","053835837497980917AC7EE","36",2013-07-24,6750,256.36,6,"6 <= Score <= 8"
"3115","68753588261531574C1BED7","36",2013-11-08,2500,84.83,10,"Score >= 9"
"3127","46D43574135365369697570","36",2013-04-09,4000,166.73,3,"3 <= Score <= 5"
"3131","8E6C35827864639665A50AC","60",2013-07-24,10000,307.51,4,"3 <= Score <= 5"
"3132","8E6C3594675387095141BA9","36",2013-12-30,4000,161.67,2,"1 <= Score <= 2"
"3133","8E6F3574749680657DD8A88","36",2013-03-27,4000,163.56,2,"1 <= Score <= 2"
"3136","8E883592322693799A02F8D","60",2013-10-10,15000,380.9,7,"6 <= Score <= 8"
"3138","8E993592865008860F62AFD","60",2013-10-25,10000,260.23,5,"3 <= Score <= 5"
"3142","0D2C3577681202064BE7582","60",2013-05-21,10000,285.3,5,"3 <= Score <= 5"
"3144","0D333568984822921FFEC78","36",2013-02-04,4000,163.56,2,"1 <= Score <= 2"
"3149","49303585121386868F45396","60",2013-08-07,15000,399.41,4,"3 <= Score <= 5"
"3150","494035900729634921CA20C","60",2013-10-04,15000,372.39,6,"6 <= Score <= 8"
"3162","28DF358482348358998DDD9","36",2013-07-24,3000,99.69,10,"Score >= 9"
"3163","28E135926166042445037A1","36",2013-10-31,12000,377.09,7,"6 <= Score <= 8"
"3165","053D3596004788929BE7A65","36",2013-12-02,15000,526.25,3,"3 <= Score <= 5"
"3166","05463597725358512B4391F","36",2013-12-10,7000,268.6,3,"3 <= Score <= 5"
"3167","055E35769007753681D4E61","60",2013-06-10,4000,91.71,8,"6 <= Score <= 8"
"3169","04F035971862075809C9A39","60",2013-12-31,12000,315.93,6,"6 <= Score <= 8"
"3173","56BB35971255623875DF51A","60",2013-12-12,7000,169.67,7,"6 <= Score <= 8"
"3178","56E135911920669249D87A2","36",2013-10-15,3000,109.51,6,"6 <= Score <= 8"
"3179","57043591680496669A6A5FB","36",2013-10-07,3000,103.12,6,"6 <= Score <= 8"
"3181","69D63570458675764F31CF2","60",2013-03-14,4000,126.04,2,"1 <= Score <= 2"
"3183","4709358361721668361A94D","60",2013-07-25,7500,206.25,6,"6 <= Score <= 8"
"3185","47153584533849278337741","36",2013-07-17,4000,166.73,2,"1 <= Score <= 2"
"3186","471D3592466065406FE7D73","60",2013-11-06,15000,386.64,5,"3 <= Score <= 5"
"3188","48513586612857979919759","36",2013-08-20,3500,139.01,3,"3 <= Score <= 5"
"3190","48533591300124091507B67","36",2013-10-01,35000,1162.33,11,"Score >= 9"
"3195","0E6B3596378156146F530D4","36",2013-12-11,9200,305.09,7,"6 <= Score <= 8"
"3203","951135888716971845C55AC","60",2013-09-19,2000,52.05,8,"6 <= Score <= 8"
"3206","952F35935765787329F5384","60",2013-11-14,3000,83.28,4,"3 <= Score <= 5"
"3212","497A357626668543607899D","36",2013-04-15,15000,561.21,4,"3 <= Score <= 5"
"3214","497F3591545717384D1F5EC","60",2013-10-23,10000,277.61,4,"3 <= Score <= 5"
"3217","499435869029230201B5B99","36",2013-08-26,4000,163.56,3,"3 <= Score <= 5"
"3219","2DC93576559872577D1009F","36",2013-05-10,8500,321.29,4,"3 <= Score <= 5"
"3233","051C3595314398821CA257E","36",2013-11-18,15000,501.73,10,"Score >= 9"
"3245","0E7F3591483137660B5ECA0","36",2013-10-22,6500,244.39,5,"3 <= Score <= 5"
"3247","0DC735724229456234056B7","36",2013-03-08,2000,67.38,7,"6 <= Score <= 8"
"3248","0DCD359805239006153CBA4","60",2013-12-20,10000,236.07,6,"6 <= Score <= 8"
"3256","69E63591964959711ADE533","36",2013-10-30,4000,141.02,2,"1 <= Score <= 2"
"3259","69F135791248496024ACF4B","36",2013-06-05,15000,544.09,3,"3 <= Score <= 5"
"3261","6758359440337366257000C","36",2013-11-12,2000,84.08,2,"1 <= Score <= 2"
"3272","49973573882627924472FE0","36",2013-04-10,13000,468.29,6,"6 <= Score <= 8"
"3273","49AA357680498128876582A","60",2013-06-03,13000,282.59,6,"6 <= Score <= 8"
"3276","49B13579507724471FB5A31","36",2013-06-24,7500,295,5,"3 <= Score <= 5"
"3279","49BD3582272426288EC171C","60",2013-06-25,7500,189.19,5,"3 <= Score <= 5"
"3282","2A4E35813772031392BD6C8","36",2013-06-27,5000,184.27,5,"3 <= Score <= 5"
"3283","2A603581704099690FAC0B3","60",2013-06-24,10000,272.73,4,"3 <= Score <= 5"
"3284","2A7A3577829884318ABF7CF","60",2013-05-20,13000,399.76,4,"3 <= Score <= 5"
"3287","2A943576380555835EC9B56","60",2013-04-15,25000,687.49,4,"3 <= Score <= 5"
"3291","05393584077698863C9649E","36",2013-07-10,3000,119.15,3,"3 <= Score <= 5"
"3292","053A3574904162974089D20","36",2013-04-19,4000,166.73,2,"1 <= Score <= 2"
"3293","053A3582643178105FC59EC","36",2013-06-28,10000,324.27,6,"6 <= Score <= 8"
"3302","41AF35895005829498A68A8","60",2013-09-16,10000,273.64,4,"3 <= Score <= 5"
"3305","41B93594066042959CEAC6F","36",2013-11-12,7000,245.58,5,"3 <= Score <= 5"
"3306","41BD3587791913564FA7586","60",2013-09-04,15000,343.91,7,"6 <= Score <= 8"
"3308","0DEC3592127496608E0B6F2","36",2013-10-24,4200,151,6,"6 <= Score <= 8"
"3310","0D2A3575541488620EE2EA7","60",2013-04-16,2000,64.33,3,"3 <= Score <= 5"
"3321","67703571655427633C57F39","60",2013-03-05,13000,357.5,9,"Score >= 9"
"3322","67713591386747097589278","60",2013-10-08,10000,232.63,7,"6 <= Score <= 8"
"3324","95643583269597557007D21","36",2013-07-11,4000,163.56,3,"3 <= Score <= 5"
"3326","8AF53574892202049B6DC62","36",2013-04-23,9000,289.31,9,"Score >= 9"
"3327","8B003585751635412A08AF1","36",2013-08-23,15000,566.98,5,"3 <= Score <= 5"
"3328","8B053579777675369E22BCC","36",2013-06-21,12000,370.47,10,"Score >= 9"
"3329","8B073590496681851F40BE1","60",2013-10-09,15000,377.64,5,"3 <= Score <= 5"
"3333","49C335680409079892BB911","60",2013-01-08,10000,273.52,5,"3 <= Score <= 5"
"3336","49EE3567601651749D6CF00","36",2013-01-25,20000,679.58,7,"6 <= Score <= 8"
"3342","2A973591843487751CC4E8E","36",2013-10-31,4000,163.28,2,"1 <= Score <= 2"
"3343","2AA33590982977784C48C08","36",2013-09-30,4000,166.52,3,"3 <= Score <= 5"
"3344","2AAA358033327467902B9E8","36",2013-06-14,7500,277.93,4,"3 <= Score <= 5"
"3346","2AB8359616126680323CA29","60",2013-12-11,20000,472.13,9,"Score >= 9"
"3351","048735912801873347D4622","36",2013-10-17,3000,112.18,5,"3 <= Score <= 5"
"3352","048C3590901466693EE2EEC","36",2013-09-30,7500,272.65,5,"3 <= Score <= 5"
"3356","049C35921848362532D0F3A","36",2013-10-30,10000,359.52,4,"3 <= Score <= 5"
"3357","05823588774636539638EE7","36",2013-09-18,11000,385.91,11,"Score >= 9"
"3372","4C0E3589963770415180B94","36",2013-10-24,18000,548,11,"Score >= 9"
"3373","4C113578899144417B03771","36",2013-05-08,5000,189.89,3,"3 <= Score <= 5"
"3375","4C3A35783760190820B92D4","36",2013-05-07,4000,154.26,3,"3 <= Score <= 5"
"3382","957C3586349111253F05E18","60",2013-08-13,4000,117.55,4,"3 <= Score <= 5"
"3384","958235839799436041449CA","60",2013-07-17,15000,354.81,4,"3 <= Score <= 5"
"3387","4A19359163835885279464A","36",2013-10-22,10000,345.92,8,"6 <= Score <= 8"
"3391","4A2D35780804672959FC6A6","60",2013-05-08,15000,390.26,5,"3 <= Score <= 5"
"3397","556C359618868284691131C","36",2013-12-27,15000,470.67,10,"Score >= 9"
"3406","2A8B35858168104934A6840","36",2013-08-14,19000,667.89,5,"3 <= Score <= 5"
"3407","2A8C3576111489017E639C7","36",2013-04-16,10000,381.85,3,"3 <= Score <= 5"
"3416","0CFF3589272381484913328","36",2013-09-19,3000,101.07,5,"3 <= Score <= 5"
"3423","059135904162159071EA963","36",2013-11-15,8000,296.49,4,"3 <= Score <= 5"
"3424","059735803267045299FD349","36",2013-06-04,15000,569.68,3,"3 <= Score <= 5"
"3428","05A83572629400915812E33","36",2013-02-27,4000,172.76,2,"1 <= Score <= 2"
"3433","41E43594929532739C02ED8","60",2013-12-04,30000,698.05,9,"Score >= 9"
"3434","41EB3596587262374503DBA","36",2013-11-29,10000,372.15,5,"3 <= Score <= 5"
"3440","8B213590209103997E6097B","60",2013-10-09,15000,380.9,6,"6 <= Score <= 8"
"3449","4A3435914877808963C0152","60",2013-10-24,15000,393.25,4,"3 <= Score <= 5"
"3455","4A5135921231627271CA652","60",2013-10-28,8000,247.59,4,"3 <= Score <= 5"
"3467","2BE43596296504160D0C44E","36",2013-12-05,2000,74.02,4,"3 <= Score <= 5"
"3469","2BF43596986015084100EA1","36",2013-12-12,4000,168.15,2,"1 <= Score <= 2"
"3471","2C5835904681591318656C0","36",2013-10-01,12000,459.84,5,"3 <= Score <= 5"
"3475","0D16359072947892575D931","36",2013-10-11,10000,325.02,11,"Score >= 9"
"3476","0D183584710693694451348","36",2013-07-30,12000,476.61,3,"3 <= Score <= 5"
"3477","0D983592189334655C73B08","60",2013-10-16,6000,144.32,10,"Score >= 9"
"3481","0DA33595148570210F2821F","36",2013-11-19,10000,395.96,3,"3 <= Score <= 5"
"3484","04E9358676792270061CB9A","60",2013-08-22,21000,568,7,"6 <= Score <= 8"
"3487","04F235942357026122CB750","36",2013-11-27,4000,153.49,3,"3 <= Score <= 5"
"3489","04F33579345600911C4F638","60",2013-06-20,25000,630.63,7,"6 <= Score <= 8"
"3491","0532356974093111348EB65","60",2013-02-11,25000,653.89,5,"3 <= Score <= 5"
"3493","422435691914487111A312E","60",2013-01-17,4000,126.85,2,"1 <= Score <= 2"
"3494","422935805716522287AC353","60",2013-08-02,15000,368.69,5,"3 <= Score <= 5"
"3497","42593593314862656F0248C","60",2013-11-12,8000,209.73,5,"3 <= Score <= 5"
"3502","863335693148352491AC0B4","36",2013-05-01,10000,366.51,4,"3 <= Score <= 5"
"3508","865D35873181204955C8547","36",2013-09-03,2000,74.83,3,"3 <= Score <= 5"
"3512","4A6F35956835844780537D9","36",2013-12-12,4000,166.54,2,"1 <= Score <= 2"
"3516","4A833571337890949B23794","60",2013-02-22,16800,406.67,7,"6 <= Score <= 8"
"3517","4A8335896636411073B7AD1","60",2013-11-05,18300,471.7,4,"3 <= Score <= 5"
"3518","4A8435938236005549A3C0C","60",2013-10-31,25000,610.61,8,"6 <= Score <= 8"
"3520","78193591017270961FF7FB3","36",2013-09-26,6000,182.67,11,"Score >= 9"
"3521","781C35845951604268BD250","60",2013-09-27,25000,610.61,4,"3 <= Score <= 5"
"3526","6919359326326435741FC2E","36",2013-11-01,6000,195.01,8,"6 <= Score <= 8"
"3529","2C6B3597605031395BB6657","36",2013-12-20,12600,417.84,9,"Score >= 9"
"3531","2A66357833623927460459E","36",2013-05-28,2000,79.44,3,"3 <= Score <= 5"
"3539","0E79359540365592463D9E4","36",2013-11-22,4000,138.37,6,"6 <= Score <= 8"
"3540","0E9B359270006306504D57D","36",2013-10-17,4000,168.17,4,"3 <= Score <= 5"
"3541","0EA635853910954425C8E44","60",2013-07-30,23000,632.49,5,"3 <= Score <= 5"
"3552","053B35856746530660FEA92","36",2013-08-19,15000,595.76,7,"6 <= Score <= 8"
"3562","965A35914838767149C4DD5","60",2013-10-21,10000,256.12,6,"6 <= Score <= 8"
"3563","96623574254949551065E37","12",2013-03-26,3500,312.27,5,"3 <= Score <= 5"
"3564","96663589967754151F34ECE","36",2013-09-19,15000,539.28,5,"3 <= Score <= 5"
"3571","96BC357238566484470F8EF","60",2013-03-11,21000,572.74,4,"3 <= Score <= 5"
"3572","96BC35843604056434BB234","60",2013-08-06,20000,467.34,6,"6 <= Score <= 8"
"3574","8BBA3585140881118FBD815","60",2013-09-16,11500,301.49,7,"6 <= Score <= 8"
"3576","8BCE3591129883361B876AC","36",2013-10-11,8500,292.16,9,"Score >= 9"
"3582","86963596821579931FE8254","60",2013-12-27,15000,392.42,4,"3 <= Score <= 5"
"3585","86A93580314250614026F64","36",2013-05-28,2000,62.3,10,"Score >= 9"
"3592","4A9D35749909207888ABF18","36",2013-04-15,2000,83.37,2,"1 <= Score <= 2"
"3597","693435900525895578B8728","60",2013-11-08,20000,449.86,6,"6 <= Score <= 8"
"3598","69353576970002557F1E206","60",2013-04-17,4000,130.2,2,"1 <= Score <= 2"
"3599","6937359635594860482DD9C","36",2013-12-05,35000,1207.3,5,"3 <= Score <= 5"
"3602","79D93581557201130C66865","36",2013-06-21,15000,584.25,2,"1 <= Score <= 2"
"3606","2A95358533000809627CC85","36",2013-08-13,7000,259.4,3,"3 <= Score <= 5"
"3607","2A9735669581530456E5D48","36",2013-01-14,4000,149.04,7,"6 <= Score <= 8"
"3610","294D3568762420736613402","36",2013-02-22,2000,64.29,9,"Score >= 9"
"3612","0EC63595705391260041A7F","60",2013-12-10,15000,329.06,9,"Score >= 9"
"3617","0E4235913169643321B857E","36",2013-10-30,3000,118.79,3,"3 <= Score <= 5"
"3619","0E5D35908359788300BC6F3","60",2013-10-01,21000,546.49,7,"6 <= Score <= 8"
"3620","0E5E35934293917668E4984","36",2013-10-31,9000,348.86,3,"3 <= Score <= 5"
"3621","42C13596505987736CF1F1A","36",2013-11-29,7500,263.12,7,"6 <= Score <= 8"
"3625","41EE3593248334139E4FDD4","36",2013-11-13,6000,196.4,7,"6 <= Score <= 8"
"3628","420135675320827010476DA","12",2013-01-08,15000,1384.64,6,"6 <= Score <= 8"
"3636","05833591472206506069643","60",2013-10-21,10000,265.77,7,"6 <= Score <= 8"
"3637","0587357887910282530B522","60",2013-05-16,15000,343.91,7,"6 <= Score <= 8"
"3638","05863593137260555A83996","60",2013-10-24,13500,381.35,5,"3 <= Score <= 5"
"3645","959A3584423623679E94779","36",2013-08-01,10000,370.57,3,"3 <= Score <= 5"
"3648","4AB035984412223256F863A","60",2013-12-31,10000,265.5,2,"1 <= Score <= 2"
"3652","4AD4356971796924960A7FF","36",2013-01-24,10000,334.49,7,"6 <= Score <= 8"
"3654","4AE23590698633407DA7BA8","36",2013-10-07,7000,283.12,4,"3 <= Score <= 5"
"3660","7A0A3594619090483601F52","60",2013-12-17,10000,237.9,7,"6 <= Score <= 8"
"3667","0DAE3584249936166EF282E","36",2013-07-18,15000,494.85,6,"6 <= Score <= 8"
"3672","0DE43575864131372F6EBD3","36",2013-04-12,4000,133.8,7,"6 <= Score <= 8"
"3680","2DD7357609911135576504F","60",2013-04-22,15000,447.24,3,"3 <= Score <= 5"
"3683","421135897519764547FF373","60",2013-09-25,25000,650.58,7,"6 <= Score <= 8"
"3686","421E3575325940535DC5896","36",2013-04-03,10000,372.6,2,"1 <= Score <= 2"
"3688","421F3582221280172CC9A7F","60",2013-06-18,10000,266.28,3,"3 <= Score <= 5"
"3693","05A33586722524795538F77","60",2013-08-22,15000,447.24,6,"6 <= Score <= 8"
"3707","7737359170890543121C321","36",2013-10-02,10000,391.23,5,"3 <= Score <= 5"
"3708","774035967345559580462F5","60",2013-12-13,19000,426.4,9,"Score >= 9"
"3712","4AF035967062190983893DF","36",2013-12-18,4000,166.54,2,"1 <= Score <= 2"
"3722","752C3590165411136E76F66","36",2013-10-17,10000,308.73,7,"6 <= Score <= 8"
"3734","0E9A3592141390674CD36BF","36",2013-10-18,4000,163.28,4,"3 <= Score <= 5"
"3735","0E9B359535073728564F953","36",2013-11-20,2000,79.19,4,"3 <= Score <= 5"
"3736","2DEF358096684260440896D","36",2013-06-14,3500,129.7,3,"3 <= Score <= 5"
"3739","2DFA3587876863643CA262C","60",2013-09-12,15000,358.35,8,"6 <= Score <= 8"
"3741","2E0435775557948850FD70C","36",2013-04-24,3000,114.56,4,"3 <= Score <= 5"
"3743","2D07359000097956199D34F","60",2013-09-26,15000,377.64,5,"3 <= Score <= 5"
"3744","2D0E35964338772330232FC","36",2013-12-19,6000,194.7,10,"Score >= 9"
"3754","05973578087798090A529F9","36",2013-05-01,10000,362.73,3,"3 <= Score <= 5"
"3756","05B23589240114534AC0BD9","36",2013-09-17,9000,338.38,4,"3 <= Score <= 5"
"3758","05B935946900700382891FB","60",2013-11-22,15000,398.66,8,"6 <= Score <= 8"
"3759","05BC359213319276233D8B7","36",2013-10-21,35000,1187.57,7,"6 <= Score <= 8"
"3760","05D035915124017276E6A2F","36",2013-10-18,10000,395.96,2,"1 <= Score <= 2"
"3762","06D33590755144004182E78","60",2013-10-22,15000,401.17,2,"1 <= Score <= 2"
"3765","95B735966555105555A5E2F","36",2013-12-19,2000,64.44,7,"6 <= Score <= 8"
"3767","95C6357958734479714B72D","36",2013-06-05,2000,69.42,6,"6 <= Score <= 8"
"3771","4B123588586961021E7C98D","60",2013-08-27,9000,273.31,4,"3 <= Score <= 5"
"3775","4B3A35964615289559D1151","60",2013-12-26,8000,218.68,3,"3 <= Score <= 5"
"3776","4B3C3565967268074213545","36",2013-01-07,8000,305.48,3,"3 <= Score <= 5"
"3777","4B403585463842508D5BD17","60",2013-07-31,4000,94.61,7,"6 <= Score <= 8"
"3779","0EA23578329305298484ACE","60",2013-05-08,10000,236.54,7,"6 <= Score <= 8"
"3784","0E193592800029353B3A156","36",2013-10-28,6000,195.01,6,"6 <= Score <= 8"
"3787","0E343581157529075FC619B","36",2013-06-27,10000,389.5,2,"1 <= Score <= 2"
"3800","57C935801885219280C5B78","60",2013-06-05,4000,130.2,2,"1 <= Score <= 2"
"3803","6AAE3594640630460C267A1","36",2013-11-15,9000,280.62,11,"Score >= 9"
"3817","49EC3590500785391CF1953","36",2013-09-23,10000,383.2,3,"3 <= Score <= 5"
"3818","49F835899138716649153CA","36",2013-09-20,5500,199.94,5,"3 <= Score <= 5"
"3821","4A053577259909462C38A29","60",2013-06-11,25000,584.17,7,"6 <= Score <= 8"
"3823","4A1535915053928777962AF","60",2013-10-18,4000,104.09,7,"6 <= Score <= 8"
"3824","0601357865006380900A64F","60",2013-05-15,10000,238.9,7,"6 <= Score <= 8"
"3825","06063572302681469D3F008","36",2013-03-12,6000,189.38,10,"Score >= 9"
"3830","062035805373215194D9CCE","60",2013-05-29,15000,318.63,6,"6 <= Score <= 8"
"3836","97193591172000276E18004","36",2013-10-07,4000,155.05,3,"3 <= Score <= 5"
"3840","972835661012129351748F7","36",2013-02-12,25000,921.34,5,"3 <= Score <= 5"
"3841","973835984788676675DF5D9","36",2013-12-23,15000,531.44,4,"3 <= Score <= 5"
"3843","4B43359404002008372AC1D","36",2013-11-05,11000,357.53,6,"6 <= Score <= 8"
"3848","3FFF35882816690364E2AD3","36",2013-09-09,23000,758.78,8,"6 <= Score <= 8"
"3855","0F753584133513380E85973","60",2013-08-02,5500,131.39,6,"6 <= Score <= 8"
"3866","68413577311819591D1B647","60",2013-05-01,20000,520.35,6,"6 <= Score <= 8"
"3885","47AC35935470667982CEA04","36",2013-11-08,6500,214.62,7,"6 <= Score <= 8"
"3894","064C3593080152312049295","36",2013-10-28,15000,560.9,6,"6 <= Score <= 8"
"3897","97483573901697417CEA1F8","36",2013-04-08,15000,537.33,6,"6 <= Score <= 8"
"3901","8BA13593228931838591E1A","36",2013-11-18,7500,252.67,6,"6 <= Score <= 8"
"3903","8BAF3583703745156F52C90","60",2013-07-23,15000,461.26,4,"3 <= Score <= 5"
"3910","4A7E3597024371880A6894A","60",2013-12-26,10000,263.27,5,"3 <= Score <= 5"
"3913","0F9C359806054831563D535","36",2013-12-31,8000,263.39,6,"6 <= Score <= 8"
"3915","0EB33581283798571684FF0","60",2013-06-28,6000,149.08,7,"6 <= Score <= 8"
